dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.033002,14.330001,0.003726,0.149039,2.980788,59.615769,0.000516
0.050000,0.042362,14.330013,0.013086,0.187201,0.763240,-44.350964,0.002125
0.050000,0.057961,14.330067,0.028685,0.311979,2.495551,34.646210,0.004807
0.050000,0.079796,14.330213,0.050521,0.436725,2.494915,-0.012710,0.008564
0.050000,0.107866,14.330521,0.078593,0.561433,2.494161,-0.015091,0.013398
0.050000,0.142167,14.331082,0.112898,0.686104,2.493424,-0.014728,0.019310
0.050000,0.182694,14.332007,0.153435,0.810748,2.492885,-0.010778,0.026301
0.050000,0.229442,14.333425,0.200205,0.935387,2.492767,-0.002362,0.034372
0.050000,0.282404,14.335489,0.253207,1.060054,2.493338,0.011407,0.043522
0.050000,0.341574,14.338369,0.312447,1.184799,2.494910,0.031456,0.053746
0.050000,0.406943,14.342256,0.377932,1.309691,2.497844,0.058679,0.065039
0.050000,0.478502,14.347361,0.449673,1.434818,2.502541,0.093930,0.077390
0.050000,0.556241,14.353914,0.527687,1.560290,2.509440,0.137974,0.090783
0.050000,0.640148,14.362163,0.611999,1.686241,2.519010,0.191404,0.105198
0.050000,0.730213,14.372375,0.702641,1.812828,2.531740,0.254596,0.120606
0.050000,0.826421,14.384836,0.799653,1.940234,2.548119,0.327597,0.136971
0.050000,0.928759,14.399845,0.903086,2.068665,2.568622,0.410052,0.154248
0.050000,1.037214,14.417719,1.013003,2.198349,2.593678,0.501129,0.172382
0.050000,1.151769,14.438786,1.129480,2.329531,2.623650,0.599438,0.191305
0.050000,1.272410,14.463386,1.252603,2.462471,2.658801,0.703017,0.210940
0.050000,1.399120,14.491869,1.382475,2.597435,2.699268,0.809335,0.231198
0.050000,1.531882,14.524588,1.519209,2.734687,2.745036,0.915364,0.251977
0.050000,1.670678,14.561902,1.662934,2.874483,2.795923,1.017729,0.273165
0.050000,1.815490,14.604166,1.813787,3.017061,2.851568,1.112898,0.294639
0.050000,1.966298,14.651732,1.971918,3.162633,2.911440,1.197443,0.316266
0.050000,2.123084,14.704940,2.137487,3.311376,2.974856,1.268325,0.337906
0.050000,2.285830,14.764118,2.310658,3.463427,3.041015,1.323175,0.359413
0.050000,2.454520,14.829572,2.491602,3.618879,3.109042,1.360551,0.380636
0.050000,2.629143,14.901586,2.680491,3.777781,3.178047,1.380102,0.401422
0.050000,2.809693,14.980412,2.877498,3.940140,3.247180,1.382657,0.421620
0.050000,2.996173,15.066270,3.082795,4.105925,3.315690,1.370199,0.441076
0.050000,3.188600,15.159342,3.296548,4.275073,3.382977,1.345731,0.459643
0.050000,3.387008,15.259767,3.518923,4.447505,3.448630,1.313075,0.477174
0.050000,3.591452,15.367638,3.750080,4.623128,3.512461,1.276615,0.493530
0.050000,3.802013,15.483000,3.990173,4.801854,3.574512,1.241023,0.508573
0.050000,4.018807,15.605847,4.239353,4.983607,3.635063,1.211012,0.522168
0.050000,4.241986,15.736117,4.497770,5.168338,3.694619,1.191118,0.534184
0.050000,4.471748,15.873692,4.765571,5.356032,3.753896,1.185552,0.544491
0.050000,4.708343,16.018393,5.042908,5.546722,3.813800,1.198080,0.552954
0.050000,4.952075,16.169977,5.329932,5.740492,3.875398,1.231956,0.559439
0.050000,5.203317,16.328129,5.626806,5.937487,3.939891,1.289848,0.563802
0.050000,5.462509,16.492459,5.933702,6.137916,4.008578,1.373741,0.565891
0.050000,5.726159,16.659940,6.246050,6.246958,2.180842,-36.554712,0.565566
0.050000,5.988345,16.825932,6.556365,6.206288,-0.813405,-59.884935,0.562857
0.050000,6.246991,16.988296,6.861749,6.107684,-1.972079,-23.173479,0.557915
0.050000,6.502269,17.146423,7.162034,6.005705,-2.039583,-1.350091,0.550891
0.050000,6.754314,17.299768,7.457061,5.900543,-2.103225,-1.272837,0.541925
0.050000,7.003210,17.447850,7.746678,5.792329,-2.164285,-1.221194,0.531152
0.050000,7.248999,17.590243,8.030734,5.681132,-2.223933,-1.192965,0.518705
0.050000,7.491674,17.726577,8.309083,5.566972,-2.283198,-1.185306,0.504713
0.050000,7.731179,17.856535,8.581574,5.449826,-2.342939,-1.194815,0.489310
0.050000,7.967411,17.979851,8.848056,5.329635,-2.403819,-1.217595,0.472631
0.050000,8.200221,18.096314,9.108372,5.206320,-2.466286,-1.249340,0.454812
0.050000,8.429418,18.205766,9.362361,5.079792,-2.530558,-1.285449,0.435998
0.050000,8.654768,18.308101,9.609860,4.949961,-2.596618,-1.321204,0.416333
0.050000,8.876004,18.403272,9.850697,4.816751,-2.664218,-1.351987,0.395968
0.050000,9.092826,18.491286,10.084702,4.680106,-2.732895,-1.373543,0.375054
0.050000,9.304915,18.572203,10.311703,4.540005,-2.802007,-1.382246,0.353744
0.050000,9.511930,18.646141,10.531526,4.396467,-2.870775,-1.375347,0.332191
0.050000,9.713526,18.713269,10.744003,4.249550,-2.938333,-1.351160,0.310545
0.050000,9.909351,18.773802,10.948971,4.099361,-3.003791,-1.309166,0.288949
0.050000,10.099062,18.828005,11.146274,3.946046,-3.066291,-1.250010,0.267543
0.050000,10.282326,18.876177,11.335763,3.789793,-3.125061,-1.175396,0.246456
0.050000,10.458828,18.918653,11.517304,3.630820,-3.179455,-1.087884,0.225809
0.050000,10.628274,18.955796,11.690773,3.469371,-3.228987,-0.990637,0.205711
0.050000,10.790394,18.987986,11.856058,3.305704,-3.273344,-0.887127,0.186261
0.050000,10.944947,19.015619,12.013062,3.140084,-3.312387,-0.780864,0.167545
0.050000,11.091720,19.039095,12.161701,2.972777,-3.346144,-0.675140,0.149637
0.050000,11.230528,19.058816,12.301903,2.804038,-3.374787,-0.572860,0.132602
0.050000,11.361213,19.075178,12.433608,2.634107,-3.398607,-0.476401,0.116491
0.050000,11.483644,19.088567,12.556769,2.463208,-3.417986,-0.387580,0.101347
0.050000,11.597712,19.099353,12.671346,2.291540,-3.433367,-0.307629,0.087205
0.050000,11.703332,19.107890,12.777310,2.119278,-3.445230,-0.237255,0.074090
0.050000,11.800435,19.114509,12.874639,1.946575,-3.454065,-0.176692,0.062023
0.050000,11.888971,19.119518,12.963316,1.773557,-3.460355,-0.125804,0.051017
0.050000,11.968903,19.123202,13.043333,1.600329,-3.464563,-0.084154,0.041081
0.050000,12.040204,19.125816,13.114682,1.426973,-3.467117,-0.051092,0.032222
0.050000,12.102856,19.127592,13.177359,1.253553,-3.468409,-0.025840,0.024441
0.050000,12.156850,19.128731,13.231365,1.080114,-3.468785,-0.007515,0.017740
0.050000,12.202179,19.129407,13.276699,0.906686,-3.468546,0.004784,0.012118
0.050000,12.238842,19.129768,13.313364,0.733289,-3.467948,0.011960,0.007574
0.050000,12.266838,19.129932,13.341360,0.559929,-3.467202,0.014921,0.004106
0.050000,12.286168,19.129988,13.360690,0.386605,-3.466476,0.014515,0.001712
0.050000,12.296833,19.129999,13.371356,0.213310,-3.465897,0.011588,0.000392
0.050000,12.300000,19.130000,13.374523,0.063334,-2.999513,9.327669,6.283185
0.050000,12.300000,19.130000,13.374523,0.000000,-1.266690,34.656466,6.283185
